Ville,Nombre de jours par an ,Hauteur de pluie par an
Abbeville,182,73
Agen,155,73
Aix en Provence,89,64
Ajaccio,106,67
Alençon,168,73
Ambérieu en Bugey,160,116
Angers,154,60
Auxerre,167,64
Bastia,97,75
Beauvais,172,65
Belfort,182,104
Belle Ile en Mer,157,68
Besançon,179,107
Biarritz,181,148
Bordeaux,171,94
Boulogne sur Mer,172,65
Bourges,169,72
Bourg-St-Maurice,153,95
Brest,210,112
Caen,179,71
Cap Béar,75,58
Cap Cavallo,77,61
Cap Corse,67,43
Cap de la Hague,166,69
Cap Ferret,165,86
Cap Pertusato,86,53
Carcassonne,147,74
Chartres,156,57
Château-Chinon,190,126
Chateauroux,164,74
Clermont-Ferrand,151,59
Cognac,159,77
Deauville,183,83
Dieppe,169,77
Dijon,158,72
Dinard,183,71
Dunkerque,168,65
Embrun,114,72
Gourdon,164,90
Granville,170,61
Ile de Batz,186,81
Ile de Bréhat,182,81
Ile d'Oléron,156,71
Ile d'Ouessant,185,67
Ile d'Yeu,157,73
La Rochelle,166,77
Langres,177,88
Le Mans,169,68
Le Puy,156,66
Lille,177,64
Limoges,176,94
Lorient,175,90
Lus la Croix Haute,133,107
Luxeuil les Bains,177,96
Lyon,157,83
Mâcon,165,83
Marignane,81,57
Melun,167,63
Metz,168,72
Millau,155,76
Mont de Marsan,169,94
Montélimar,123,97
Montpellier,95,97
Mulhouse,170,71
Nancy,171,73
Nantes,168,79
Nevers,174,80
Nice,89,87
Nîmes,96,75
Orange,92,74
Orléans,163,62
Paris,170,63
Pau,172,110
Perpignan,91,60
Phalsbourg,186,81
Pointe de Penmarch,170,66
Poitiers,166,70
Reims,171,58
Rennes,172,63
Romilly sur Seine,158,62
Rostrenen,203,100
Rouen,180,73
Royan,157,77
Saint Dizier,176,78
Saint Girons,175,105
Saint Quentin,180,68
Saint Raphaël,87,86
Saint-Etienne,154,72
Strasbourg,170,59
Tarbes,168,110
Toulon,87,72
Toulouse,145,67
Tours,161,68
Vichy,168,80
